price,date,postcode
50000,2014-01-21 00:00,L6 6BY
106000,2014-02-24 00:00,L38 6JA
200000,2014-03-21 00:00,L19 2HB
84500,2014-01-10 00:00,L25 2BA
124450,2014-01-31 00:00,L17 7AN
125000,2014-02-10 00:00,L26 9AB
45000,2014-02-14 00:00,L4 6TR
135000,2014-01-06 00:00,L19 4UB
165000,2014-02-07 00:00,L19 1RY
71000,2014-01-31 00:00,L9 9BS
124995,2014-02-28 00:00,L4 1SH
57000,2014-01-17 00:00,L4 2SB
158000,2014-02-21 00:00,L17 6AD
166000,2014-02-14 00:00,L9 9HL
115000,2014-01-17 00:00,L35 5HJ
93000,2014-01-08 00:00,L4 2RZ
84000,2014-01-24 00:00,L15 4LR
215000,2014-01-16 00:00,L19 9AT
88450,2014-02-10 00:00,L26 1TY
109995,2014-01-17 00:00,L31 6BZ
138000,2014-01-10 00:00,L18 1HB
83500,2014-02-28 00:00,L12 7HR
370000,2014-01-10 00:00,L34 2QP
83500,2014-01-24 00:00,L4 2SX
125000,2014-01-17 00:00,L40 0RY
57500,2014-03-21 00:00,L4 5SW
101000,2014-03-07 00:00,L13 7BT
97500,2014-02-28 00:00,L6 4BG
76000,2014-01-27 00:00,L21 0DS
100000,2014-02-07 00:00,L20 6LQ
138000,2014-02-07 00:00,L40 0RP
265000,2014-02-25 00:00,L15 6WA
105000,2014-02-18 00:00,L25 5LG
86750,2014-03-07 00:00,L9 9DW
59500,2014-02-28 00:00,L20 4RH
250000,2014-03-20 00:00,L37 7DX
155000,2014-01-10 00:00,L36 4LE
250000,2014-02-19 00:00,L23 7TX
143000,2014-02-24 00:00,L16 1JP
52000,2014-02-19 00:00,L32 0TE
158500,2014-02-07 00:00,L18 5EN
100000,2014-01-31 00:00,L20 6NJ
57500,2014-03-12 00:00,L12 4YJ
130000,2014-01-16 00:00,L9 9EG
239000,2014-03-20 00:00,L31 8DE
140500,2014-01-17 00:00,L13 5SH
432500,2014-01-09 00:00,L18 3EN
90750,2014-02-28 00:00,L3 1EA
282000,2014-01-24 00:00,L15 8AL
182500,2014-01-17 00:00,L15 6TY
96000,2014-03-07 00:00,L11 8LQ
160000,2014-03-14 00:00,L6 8NW
180000,2014-03-07 00:00,L3 9BW
143000,2014-02-14 00:00,L16 1JT
